filename,label,ext,file_size_kb,width,height,mode,channels,correct_size,needs_conversion,pixel_mean,pixel_std,save_status
Image_157 copy 2.jpg,0,.jpg,60.58,640,640,RGB,3,False,False,126.8548,50.5068,success
Image_87 copy.jpg,0,.jpg,119.78,744,602,RGB,3,False,False,124.1542,71.6364,success
Image_191.png,0,.png,1694.58,1272,1016,RGBA,4,False,True,131.7834,61.4831,success
Image_174 copy.jpg,0,.jpg,38.24,602,452,RGB,3,False,False,46.8942,59.5161,success
Image_32 copy.jpg,0,.jpg,49.66,640,943,RGB,3,False,False,155.462,59.2158,success
Image_90.jpg,0,.jpg,15.19,320,480,RGB,3,False,False,191.6426,68.1593,success
Image_47.jpg,0,.jpg,68.47,750,869,RGB,3,False,False,201.9719,42.0443,success
Image_113 copy 2.jpg,0,.jpg,32.96,313,475,RGB,3,False,False,78.9474,51.9715,success
Image_104.jpg,0,.jpg,188.83,880,1010,RGB,3,False,False,160.3732,76.7458,success
Image_196 copy.jpg,0,.jpg,102.57,728,445,RGB,3,False,False,103.6136,78.0037,success
Image_106.png,0,.png,73.22,700,587,P,1,False,True,188.309,68.6361,success
Image_46.jpg,0,.jpg,688.49,1845,1927,RGB,3,False,False,162.0914,58.8929,success
Image_82 copy.jpg,0,.jpg,113.66,736,1111,RGB,3,False,False,125.7868,61.7424,success
Image_52 copy.jpg,0,.jpg,60.6,465,700,RGB,3,False,False,91.9999,63.3262,success
Image_97.jpg,0,.jpg,51.48,720,960,RGB,3,False,False,118.0756,65.354,success
Image_99.jpg,0,.jpg,29.48,500,332,RGB,3,False,False,139.9902,46.8765,success
Image_15.png,0,.png,1914.3,1282,1750,RGBA,4,False,True,113.8184,78.0821,success
Image_109.jpg,0,.jpg,97.88,640,641,RGB,3,False,False,124.1445,64.554,success
Image_183 copy.jpg,0,.jpg,218.7,602,352,RGB,3,False,False,73.6792,52.8702,success
Image_42.JPG,0,.jpg,85.77,216,320,RGB,3,False,False,176.0253,30.0829,success
Image_24 copy 2.jpg,0,.jpg,77.05,728,485,RGB,3,False,False,113.0757,44.4949,success
Image_21 copy.jpg,0,.jpg,732.95,2248,2998,RGB,3,False,False,94.3727,66.7022,success
Image_134.jpg,0,.jpg,78.87,720,960,RGB,3,False,False,140.1281,80.8237,success
Image_169.jpg,0,.jpg,140.7,728,485,RGB,3,False,False,108.1936,66.2114,success
Image_113.jpg,0,.jpg,20.57,400,400,RGB,3,False,False,214.7729,51.8451,success
Image_163 copy.jpg,0,.jpg,604.22,1600,1067,RGB,3,False,False,106.813,67.8581,success
Image_146 copy 2.jpg,0,.jpg,152.75,602,803,RGB,3,False,False,75.3008,69.3233,success
Image_121.jpg,0,.jpg,27.91,600,600,RGB,3,False,False,87.1099,69.0475,success
Image_93.jpg,0,.jpg,54.47,780,439,RGB,3,False,False,95.7623,59.6408,success
Image_29 copy 2.jpg,0,.jpg,565.98,1000,667,RGB,3,False,False,119.1796,66.5493,success
Image_114 copy.jpg,0,.jpg,206.79,1024,765,RGB,3,False,False,124.2365,69.2548,success
Image_192 copy.jpg,0,.jpg,28.24,800,600,RGB,3,False,False,147.5462,60.2385,success
Image_145 copy 2.jpg,0,.jpg,76.36,602,452,RGB,3,False,False,98.4283,51.8252,success
Image_37.png,0,.png,417.53,792,719,RGBA,4,False,True,212.2271,50.8286,success
Image_111 copy 2.jpg,0,.jpg,18.85,751,500,RGB,3,False,False,150.8712,14.7066,success
Image_187.jpg,0,.jpg,80.99,750,750,RGB,3,False,False,69.1487,77.2377,success
Image_13.jpg,0,.jpg,110.54,900,900,RGB,3,False,False,74.0656,60.6987,success
Image_51.jpg,0,.jpg,608.14,2048,1365,RGB,3,False,False,130.8706,66.0618,success
Image_157.jpg,0,.jpg,411.74,1707,2560,RGB,3,False,False,85.0639,52.9178,success
Image_50 copy.jpg,0,.jpg,85.57,1024,681,RGB,3,False,False,89.6875,64.4033,success
Image_25 copy.jpg,0,.jpg,50.29,460,613,RGB,3,False,False,156.5923,53.47,success
Image_48.jpg,0,.jpg,75.1,446,590,RGB,3,False,False,144.2405,50.2969,success
Image_86.jpg,0,.jpg,45.29,500,750,RGB,3,False,False,111.1475,59.9996,success
Image_129 copy.jpg,0,.jpg,844.4,3472,4640,RGB,3,False,False,81.027,60.9911,success
Image_67.jpg,0,.jpg,98.21,1200,627,RGB,3,False,False,166.3159,69.4293,success
Image_58.png,0,.png,620.36,790,682,RGBA,4,False,True,115.986,66.4043,success
Image_105.jpg,0,.jpg,93.38,720,862,RGB,3,False,False,88.8905,50.1418,success
Image_64.png,0,.png,205.36,600,316,RGBA,4,False,True,188.4513,63.8912,success
Image_50.jpg,0,.jpg,2232.34,1920,1280,RGB,3,False,False,133.2887,59.1408,success
Image_89 copy.jpg,0,.jpg,151.67,700,933,RGB,3,False,False,76.0109,69.437,success
Image_134 copy 2.jpg,0,.jpg,198.98,1200,1200,RGB,3,False,False,137.0638,60.8835,success
Image_135.png,0,.png,473.66,720,480,RGBA,4,False,True,167.1263,63.7172,success
Image_128 copy 2.jpg,0,.jpg,83.48,742,1023,RGB,3,False,False,161.9514,84.456,success
Image_17 copy 2.jpg,0,.jpg,3487.16,5085,3428,RGB,3,False,False,130.8587,58.4234,success
Image_19 copy.jpg,0,.jpg,71.66,1080,1080,RGB,3,False,False,127.4786,42.9372,success
Image_161.jpg,0,.jpg,46.26,929,400,RGB,3,False,False,220.0173,49.5755,success
Image_172.jpg,0,.jpg,117.28,758,758,RGB,3,False,False,170.4419,59.905,success
Image_11 copy 2.jpg,0,.jpg,26.29,480,320,RGB,3,False,False,133.5061,71.6433,success
Image_180.jpg,0,.jpg,109.29,970,566,RGB,3,False,False,170.3501,57.2389,success
Image_95 copy 2.jpg,0,.jpg,57.69,530,800,RGB,3,False,False,83.2244,47.6682,success
Image_84 copy.jpg,0,.jpg,39.07,600,600,RGB,3,False,False,164.394,62.1923,success
Image_85.jpg,0,.jpg,37.27,736,384,RGB,3,False,False,175.9348,53.3769,success
Image_9 copy.jpg,0,.jpg,174.38,1080,1350,RGB,3,False,False,148.2035,59.1184,success
Image_212.jpg,0,.jpg,111.23,720,720,RGB,3,False,False,95.3075,68.8013,success
Image_22.jpg,0,.jpg,58.5,1000,600,RGB,3,False,False,121.6349,60.5888,success
Image_108 copy 2.jpg,0,.jpg,250.58,600,399,RGB,3,False,False,114.4154,52.9826,success
Image_126 copy.jpg,0,.jpg,60.13,640,800,RGB,3,False,False,99.0701,42.3822,success
Image_190.jpg,0,.jpg,28.25,533,799,RGB,3,False,False,107.2947,52.1378,success
Image_3.jpg,0,.jpg,315.09,1249,1893,RGB,3,False,False,126.584,65.45,success
Image_78 copy.jpg,0,.jpg,59.39,700,934,RGB,3,False,False,165.7121,49.0386,success
Image_69 copy.jpg,0,.jpg,332.21,1240,2206,RGB,3,False,False,96.5478,55.4318,success
Image_45 copy.jpg,0,.jpg,23.43,564,564,RGB,3,False,False,134.1631,43.5767,success
Image_132 copy.jpg,0,.jpg,768.24,1280,1024,RGB,3,False,False,135.2773,61.5092,success
Image_132 copy 2.jpg,0,.jpg,14.54,342,342,RGB,3,False,False,234.3891,42.2153,success
Image_65 copy.jpg,0,.jpg,68.14,562,863,RGB,3,False,False,171.9202,50.7073,success
Image_18 copy 2.jpg,0,.jpg,587.86,1920,1440,RGB,3,False,False,107.6226,73.5077,success
Image_133 copy.jpg,0,.jpg,56.79,600,542,RGB,3,False,False,146.3983,64.6447,success
Image_101 copy.jpg,0,.jpg,8.16,187,293,RGB,3,False,False,188.809,78.6674,success
Image_143 copy.jpg,0,.jpg,56.66,1280,720,RGB,3,False,False,162.5007,46.7713,success
Image_60.JPG,0,.jpg,242.62,1200,630,RGB,3,False,False,101.5327,55.5384,success
Image_99 copy.jpg,0,.jpg,114.01,700,933,RGB,3,False,False,95.5078,64.8257,success
Image_102 copy 2.jpg,0,.jpg,41.16,850,577,RGB,3,False,False,156.3899,80.6773,success
Image_105 copy 2.jpg,0,.jpg,89.73,1024,576,RGB,3,False,False,176.9283,64.7661,success
Image_198.jpg,0,.jpg,104.0,1200,1200,RGB,3,False,False,192.2901,55.3378,success
Image_180 copy.jpg,0,.jpg,63.84,281,432,RGB,3,False,False,73.6538,40.1411,success
Image_170.jpg,0,.jpg,122.61,1080,1080,RGB,3,False,False,161.214,63.7421,success
Image_94 copy 2.jpg,0,.jpg,253.7,720,1080,RGB,3,False,False,89.6579,50.1083,success
Image_18.jpg,0,.jpg,1158.57,1209,1600,RGB,3,False,False,176.7665,53.471,success
Image_52.jpg,0,.jpg,43.77,640,640,RGB,3,False,False,77.2842,76.5311,success
Image_36.png,0,.png,56.13,640,640,RGBA,4,False,True,170.0204,32.4449,success
Image_87.jpg,0,.jpg,53.29,682,459,RGB,3,False,False,111.6401,64.4557,success
Image_154 copy 2.jpg,0,.jpg,95.41,602,473,RGB,3,False,False,110.322,73.3953,success
Image_67 copy.jpg,0,.jpg,273.97,1080,1920,RGB,3,False,False,163.9739,57.1524,success
Image_153.JPG,0,.jpg,1382.21,3264,2448,RGB,3,False,False,84.8375,58.8237,success
Image_115 copy 2.jpg,0,.jpg,35.03,570,427,RGB,3,False,False,166.2731,72.6544,success
Image_9.jpg,0,.jpg,895.39,3024,4032,RGB,3,False,False,160.7563,82.0798,success
Image_107 copy.jpg,0,.jpg,53.98,636,636,RGB,3,False,False,138.6231,54.0717,success
Image_7 copy.jpg,0,.jpg,880.27,3022,4030,RGB,3,False,False,143.9431,54.5919,success
Image_202.jpg,0,.jpg,94.33,1024,640,RGB,3,False,False,161.2547,44.6522,success
Image_14 copy.jpg,0,.jpg,70.48,1280,854,RGB,3,False,False,88.2753,73.7617,success
Image_55.png,0,.png,309.42,500,1349,P,1,False,True,170.3006,69.8649,success
Image_28 copy 2.jpg,0,.jpg,98.45,1243,651,RGB,3,False,False,183.0029,83.5028,success
Image_64.jpg,0,.jpg,162.24,758,758,RGB,3,False,False,148.7396,64.3922,success
Image_105 copy.jpg,0,.jpg,873.22,1958,2937,RGB,3,False,False,75.52,70.1093,success
Image_45.jpg,0,.jpg,43.0,640,1136,RGB,3,False,False,75.7057,94.5486,success
Image_185.jpg,0,.jpg,167.57,880,696,RGB,3,False,False,100.7197,56.0431,success
Image_102.jpg,0,.jpg,20.31,424,600,RGB,3,False,False,233.185,59.0487,success
Image_51 copy.jpg,0,.jpg,43.18,736,490,RGB,3,False,False,78.5602,57.9952,success
Image_213.jpg,0,.jpg,101.06,600,900,RGB,3,False,False,118.2704,61.4803,success
Image_206.jpg,0,.jpg,1517.88,3024,4032,RGB,3,False,False,157.751,55.0186,success
Image_155 copy 2.jpg,0,.jpg,82.34,640,640,RGB,3,False,False,66.2931,47.3431,success
Image_72 copy.jpg,0,.jpg,61.42,749,746,RGB,3,False,False,69.913,75.9944,success
Image_111.jpg,0,.jpg,46.72,1200,630,RGB,3,False,False,207.5013,29.2168,success
Image_74 copy.jpg,0,.jpg,49.25,499,534,RGB,3,False,False,107.3121,64.6003,success
Image_108.jpg,0,.jpg,51.17,468,700,RGB,3,False,False,73.7963,49.3097,success
Image_47 copy.jpg,0,.jpg,58.12,474,820,RGB,3,False,False,152.6032,76.1286,success
Image_42 copy.jpg,0,.jpg,438.04,2999,1999,RGB,3,False,False,133.3796,41.5665,success
Image_136.jpeg,0,.jpeg,24.39,640,426,RGB,3,False,False,151.3369,70.3651,success
Image_126 copy 2.jpg,0,.jpg,146.95,533,800,RGB,3,False,False,100.89,70.71,success
Image_22 copy.jpg,0,.jpg,117.89,894,894,RGB,3,False,False,132.5876,81.6803,success
Image_187 copy.jpg,0,.jpg,194.83,850,1142,RGB,3,False,False,125.0133,44.6421,success
Image_78 copy 2.jpg,0,.jpg,57.5,638,638,RGB,3,False,False,162.9722,77.2221,success
Image_112 copy.jpg,0,.jpg,305.65,1200,1600,RGB,3,False,False,123.0622,61.7059,success
Image_107.jpg,0,.jpg,58.83,1280,720,RGB,3,False,False,58.5092,66.5268,success
Image_103.jpg,0,.jpg,78.79,640,752,RGB,3,False,False,89.7708,61.6586,success
Image_87 copy 2.jpg,0,.jpg,16.73,373,300,RGB,3,False,False,230.9622,39.7582,success
Image_4 copy.jpg,0,.jpg,270.46,1080,1350,RGB,3,False,False,111.5165,47.9324,success
Image_26.jpg,0,.jpg,121.0,600,983,RGB,3,False,False,90.3513,63.9272,success
Image_134 copy.jpg,0,.jpg,288.29,2040,3040,RGB,3,False,False,67.408,68.214,success
Image_75.jpeg,0,.jpeg,67.34,689,349,RGB,3,False,False,91.015,46.895,success
Image_157 copy.jpg,0,.jpg,255.21,1280,1707,RGB,3,False,False,105.1901,59.5215,success
Image_74.jpg,0,.jpg,115.39,960,638,RGB,3,False,False,87.9754,46.9565,success
Image_67.png,0,.png,83.69,500,654,P,1,False,True,195.0406,67.0293,success
Image_155.jpg,0,.jpg,349.68,2400,2045,RGB,3,False,False,155.9448,66.5586,success
Image_139.jpg,0,.jpg,23.74,500,318,RGB,3,False,False,148.6497,65.6183,success
Image_100 copy.jpg,0,.jpg,136.69,1280,1707,RGB,3,False,False,85.3468,38.4857,success
Image_119 copy.jpg,0,.jpg,42.79,540,562,RGB,3,False,False,166.6545,52.9816,success
Image_6 copy 2.jpg,0,.jpg,104.95,602,452,RGB,3,False,False,136.2462,80.8671,success
Image_168.jpg,0,.jpg,91.81,500,658,RGB,3,False,False,106.6247,47.1648,success
Image_143 copy 2.jpg,0,.jpg,127.1,2160,776,RGB,3,False,False,46.4726,63.6427,success
Image_123 copy.jpg,0,.jpg,88.9,700,700,RGB,3,False,False,57.258,74.5034,success
Image_1 copy.jpg,0,.jpg,771.37,3024,4032,RGB,3,False,False,110.9211,75.5034,success
Image_138.jpg,0,.jpg,100.53,736,1093,RGB,3,False,False,118.7407,70.2404,success
Image_179.jpg,0,.jpg,75.06,800,800,RGB,3,False,False,170.2799,66.9885,success
Image_163.jpg,0,.jpg,37.24,615,290,RGB,3,False,False,181.668,48.3763,success
Image_104 copy 2.jpg,0,.jpg,205.64,800,1422,RGB,3,False,False,131.2447,67.5717,success
Image_154.jpg,0,.jpg,192.09,1280,1067,RGB,3,False,False,144.1535,74.1622,success
Image_74 copy 2.jpg,0,.jpg,25.83,1200,630,RGB,3,False,False,232.4712,52.2565,success
Image_141 copy.jpg,0,.jpg,125.57,1300,957,RGB,3,False,False,183.5774,55.0957,success
Image_16.jpg,0,.jpg,239.74,1332,1000,RGB,3,False,False,106.4486,56.1286,success
Image_38.png,0,.png,184.68,500,566,P,1,False,True,140.265,65.5903,success
Image_177.jpg,0,.jpg,132.28,758,758,RGB,3,False,False,167.0339,51.7,success
Image_90 copy.jpg,0,.jpg,53.53,800,543,RGB,3,False,False,190.2343,53.9328,success
Image_88 copy 2.jpg,0,.jpg,81.73,1000,1000,RGB,3,False,False,175.3725,72.884,success
Image_80.png,0,.png,214.61,547,273,RGB,3,False,False,76.6755,53.0881,success
Image_141.jpg,0,.jpg,112.65,1000,750,RGB,3,False,False,117.6656,69.9594,success
Image_73 copy.jpg,0,.jpg,29.33,580,533,RGB,3,False,False,189.566,54.5037,success
Image_182.jpg,0,.jpg,137.85,1080,1080,RGB,3,False,False,135.6954,77.8587,success
Image_88.jpg,0,.jpg,636.82,1200,799,RGB,3,False,False,129.8875,53.4959,success
Image_156 copy.jpg,0,.jpg,858.95,4493,2996,RGB,3,False,False,133.8138,43.2228,success
Image_65 copy 2.jpg,0,.jpg,61.05,480,640,RGB,3,False,False,145.3531,58.8244,success
Image_113 copy.jpg,0,.jpg,196.57,1280,1707,RGB,3,False,False,57.1879,46.376,success
Image_64 copy.jpg,0,.jpg,110.15,700,700,RGB,3,False,False,131.9626,72.8841,success
Image_72 copy 2.jpg,0,.jpg,101.01,676,1000,RGB,3,False,False,162.1294,44.544,success
Image_54 copy 2.jpg,0,.jpg,68.78,728,456,RGB,3,False,False,116.9449,67.7457,success
Image_44.jpg,0,.jpg,128.68,960,642,RGB,3,False,False,66.5829,68.2214,success
Image_32.jpg,0,.jpg,187.85,1333,2000,RGB,3,False,False,139.5309,55.9252,success
Image_31.jpg,0,.jpg,52.65,640,480,RGB,3,False,False,141.945,62.6651,success
Image_22 copy 2.jpg,0,.jpg,65.94,638,638,RGB,3,False,False,163.1051,79.8493,success
Image_16 copy.jpg,0,.jpg,993.96,2448,3264,RGB,3,False,False,150.3754,46.2468,success
Image_193.jpg,0,.jpg,168.69,1200,813,RGB,3,False,False,88.2013,57.1939,success
Image_84 copy 2.jpg,0,.jpg,63.54,1000,1000,RGB,3,False,False,192.2858,74.9582,success
Image_200.jpg,0,.jpg,65.03,640,480,RGB,3,False,False,149.5969,55.7842,success
Image_137 copy 2.jpg,0,.jpg,28.27,500,500,RGB,3,False,False,110.1014,43.4201,success
Image_39 copy.jpg,0,.jpg,276.85,1150,2046,RGB,3,False,False,120.8618,82.51,success
Image_57 copy 2.jpg,0,.jpg,17.78,480,270,RGB,3,False,False,86.2091,51.9197,success
Image_139 copy 2.jpg,0,.jpg,78.17,736,736,RGB,3,False,False,165.2652,99.2571,success
Image_53.jpg,0,.jpg,61.2,612,612,RGB,3,False,False,135.832,72.5443,success
Image_172 copy.jpg,0,.jpg,134.11,650,975,RGB,3,False,False,136.603,57.87,success
Image_26 copy 2.jpg,0,.jpg,101.92,640,640,RGB,3,False,False,84.1117,62.6455,success
Image_109 copy.jpg,0,.jpg,63.1,730,493,RGB,3,False,False,141.17,40.294,success
Image_81 copy.jpg,0,.jpg,59.07,720,720,RGB,3,False,False,195.0144,45.0481,success
Image_151 copy 2.jpg,0,.jpg,14.07,600,320,RGB,3,False,False,63.8988,71.5536,success
Image_121 copy.jpg,0,.jpg,44.07,480,720,RGB,3,False,False,106.7044,57.1751,success
Image_31 copy.jpg,0,.jpg,58.5,736,609,RGB,3,False,False,115.7377,51.0858,success
Image_28 copy.jpg,0,.jpg,174.12,1280,1779,RGB,3,False,False,138.8758,69.2822,success
Image_110.jpg,0,.jpg,32.47,1300,867,RGB,3,False,False,157.8316,41.0073,success
Image_72.jpg,0,.jpg,76.15,750,749,RGB,3,False,False,157.6188,70.5981,success
Image_44 copy.jpg,0,.jpg,75.12,600,600,RGB,3,False,False,118.3483,63.7802,success
Image_92.jpg,0,.jpg,52.82,720,481,RGB,3,False,False,118.2887,46.882,success
Image_118 copy.jpg,0,.jpg,2827.25,3892,2589,RGB,3,False,False,151.8377,63.1309,success
Image_57 copy.jpg,0,.jpg,49.45,449,600,RGB,3,False,False,95.155,55.2832,success
Image_54 copy.jpg,0,.jpg,55.76,640,640,RGB,3,False,False,171.2309,67.4358,success
Image_23 copy.jpg,0,.jpg,104.52,667,1000,RGB,3,False,False,121.1409,63.9611,success
Image_96 copy.jpg,0,.jpg,107.27,675,1200,RGB,3,False,False,120.3277,62.1847,success
Image_32 copy 2.jpg,0,.jpg,285.47,940,940,RGB,3,False,False,201.4513,74.8131,success
